N 		 Time (s) 		 MAX-CUT 		 Filename 
380 		 50.36 		 19208.0 		 Graph Generator/WK380_11.rud 
140 		 8.49 		 2683.0 		 Graph Generator/WK140_11.rud 
280 		 30.59 		 10573.0 		 Graph Generator/WK280_11.rud 
100 		 4.59 		 1407.0 		 Graph Generator/WK100_11.rud 
360 		 49.16 		 17261.0 		 Graph Generator/WK360_11.rud 
200 		 18.49 		 5461.0 		 Graph Generator/WK200_11.rud 
340 		 49.13 		 15396.0 		 Graph Generator/WK340_11.rud 
800 		 277.47 		 82993.0 		 Graph Generator/WK800_3.rud 
600 		 141.19 		 46894.0 		 Graph Generator/WK600_33.rud 
400 		 63.57 		 21360.0 		 Graph Generator/WK400_11.rud 
320 		 40.01 		 13632.0 		 Graph Generator/WK320_11.rud 
700 		 195.44 		 63573.0 		 Graph Generator/WK700_4.rud 
120 		 6.25 		 1990.0 		 Graph Generator/WK120_11.rud 
260 		 25.35 		 9212.0 		 Graph Generator/WK260_11.rud 
440 		 79.24 		 25626.0 		 Graph Generator/WK440_11.rud 
240 		 21.59 		 7830.0 		 Graph Generator/WK240_11.rud 
180 		 13.63 		 4464.0 		 Graph Generator/WK180_11.rud 
420 		 68.12 		 23310.0 		 Graph Generator/WK420_11.rud 
220 		 18.68 		 6571.0 		 Graph Generator/WK220_11.rud 
160 		 10.11 		 3515.0 		 Graph Generator/WK160_11.rud 
500 		 102.85 		 32747.0 		 Graph Generator/WK500_70.rud 
