N 		 Time (s) 		 MAX-CUT 		 Filename 
380 		 63.8 		 19203.0 		 Graph Generator/WK380_11.rud 
140 		 11.77 		 2693.0 		 Graph Generator/WK140_11.rud 
280 		 35.83 		 10533.0 		 Graph Generator/WK280_11.rud 
100 		 4.55 		 1399.0 		 Graph Generator/WK100_11.rud 
360 		 59.83 		 17221.0 		 Graph Generator/WK360_11.rud 
200 		 18.77 		 5475.0 		 Graph Generator/WK200_11.rud 
340 		 52.46 		 15438.0 		 Graph Generator/WK340_11.rud 
800 		 288.6 		 82856.0 		 Graph Generator/WK800_3.rud 
600 		 157.67 		 47050.0 		 Graph Generator/WK600_33.rud 
400 		 71.99 		 21383.0 		 Graph Generator/WK400_11.rud 
320 		 46.99 		 13633.0 		 Graph Generator/WK320_11.rud 
700 		 216.42 		 63522.0 		 Graph Generator/WK700_4.rud 
120 		 6.62 		 2008.0 		 Graph Generator/WK120_11.rud 
260 		 29.33 		 9177.0 		 Graph Generator/WK260_11.rud 
440 		 84.68 		 25690.0 		 Graph Generator/WK440_11.rud 
240 		 25.62 		 7845.0 		 Graph Generator/WK240_11.rud 
180 		 14.97 		 4504.0 		 Graph Generator/WK180_11.rud 
420 		 80.93 		 23345.0 		 Graph Generator/WK420_11.rud 
220 		 21.95 		 6552.0 		 Graph Generator/WK220_11.rud 
160 		 12.51 		 3522.0 		 Graph Generator/WK160_11.rud 
500 		 113.63 		 32737.0 		 Graph Generator/WK500_70.rud 
